,dp_id,MJD
238,ADP.2014-11-21T19:00:51.673,56982.33610224
239,ADP.2014-11-21T19:00:51.827,56982.35191251
240,ADP.2014-10-07T08:35:29.210,56706.04350311
241,ADP.2014-10-07T08:35:50.587,56706.0796165
242,ADP.2014-10-07T08:35:51.963,56694.04420808
243,ADP.2014-11-19T19:02:10.330,56980.33875685
244,ADP.2014-11-19T19:02:10.443,56980.34779679
245,ADP.2014-11-19T19:02:10.483,56980.3273449
246,ADP.2014-10-06T10:06:42.763,56580.33459862
247,ADP.2014-10-06T10:07:53.530,56583.38765981
248,ADP.2014-10-07T08:33:55.770,56685.17248858
249,ADP.2014-10-07T08:33:56.587,56694.07804169
250,ADP.2014-10-07T08:34:19.693,56772.97414378
251,ADP.2014-10-07T08:34:26.330,56706.04562998
252,ADP.2014-10-06T10:07:02.363,56580.32285832
253,ADP.2014-10-07T08:33:53.930,56706.08385844
254,ADP.2014-10-07T08:34:02.573,56706.05198964
255,ADP.2014-10-07T08:34:02.580,56694.04843335
256,ADP.2014-10-07T08:34:16.847,56772.97308341
257,ADP.2014-10-07T08:34:43.957,56706.06584434
258,ADP.2014-10-07T08:35:08.223,56694.06112026
259,ADP.2014-11-19T19:02:09.997,56980.32131558
260,ADP.2014-11-19T19:02:10.130,56980.3267319
261,ADP.2014-11-19T19:02:10.230,56980.34056252
262,ADP.2014-11-19T19:02:10.257,56980.34899756
263,ADP.2014-11-19T19:02:10.417,56980.33274987
264,ADP.2014-11-19T19:02:11.070,56980.33335017
265,ADP.2014-11-21T19:00:51.573,56982.34330177
266,ADP.2014-11-21T19:00:51.580,56982.33970594
267,ADP.2014-11-21T19:00:51.820,56982.33538541
268,ADP.2014-11-21T19:00:52.133,56982.34473636
269,ADP.2014-11-21T19:00:52.207,56982.34042242
270,ADP.2014-10-07T08:34:35.113,56694.06252567
271,ADP.2014-10-07T08:34:45.513,56707.09180177
272,ADP.2014-10-07T08:34:57.877,56694.08086398
273,ADP.2014-10-07T08:35:14.900,56706.06690204
274,ADP.2014-10-07T08:35:15.170,56707.09604348
275,ADP.2014-10-07T08:35:19.230,56694.05830179
276,ADP.2014-10-06T10:05:01.137,56580.28030054
277,ADP.2014-10-06T10:06:01.117,56580.33033759
278,ADP.2014-10-06T10:07:18.433,56583.38234213
279,ADP.2014-10-07T08:33:40.363,56707.0992321
280,ADP.2014-10-07T08:34:14.300,56707.08650305
281,ADP.2014-10-07T08:34:26.223,56694.09356409
282,ADP.2014-10-01T10:20:57.147,53062.0113204
283,ADP.2014-10-01T10:21:49.400,53059.04588621
284,ADP.2014-10-02T10:01:20.513,53463.98289154
285,ADP.2014-10-02T10:03:48.403,53463.98109542
286,ADP.2014-10-06T10:04:11.723,56583.37808771
287,ADP.2014-10-06T10:04:42.120,56580.3335305
288,ADP.2014-10-07T08:33:54.443,56706.04138677
289,ADP.2014-10-07T08:33:56.763,56706.07537503
290,ADP.2014-10-07T08:34:12.900,56694.03857058
291,ADP.2014-10-07T08:34:26.023,56706.04456417
292,ADP.2014-10-07T08:34:30.980,56707.10772153
293,ADP.2014-10-07T08:34:44.430,56706.04986671
294,ADP.2014-10-06T10:03:47.810,56580.31432598
295,ADP.2014-10-06T10:04:21.987,56580.31859915
296,ADP.2014-10-06T10:04:47.173,56583.38127795
297,ADP.2014-10-06T10:05:21.460,56583.37701808
298,ADP.2014-10-06T10:05:28.110,56580.29094157
299,ADP.2014-10-06T10:05:52.560,56580.28348371
300,ADP.2014-11-19T19:02:09.990,56980.3291464
301,ADP.2014-11-19T19:02:10.043,56980.34597492
302,ADP.2014-11-19T19:02:10.103,56980.33154644
303,ADP.2014-11-19T19:02:11.030,56980.33634964
304,ADP.2014-11-19T19:02:11.203,56980.35563317
305,ADP.2014-11-19T19:02:11.443,56980.33815207
306,ADP.2015-01-19T22:55:31.607,57041.18474209
307,ADP.2015-01-19T22:55:31.940,57041.17514449
308,ADP.2016-10-08T01:06:27.981,57668.2535702
309,ADP.2016-10-08T01:06:28.017,57668.25923407
310,ADP.2016-10-08T01:06:28.123,57668.24792138
311,ADP.2016-10-08T01:06:28.151,57668.25145144
312,ADP.2014-10-07T08:35:25.443,56707.08438452
313,ADP.2014-10-07T08:35:46.887,56706.06478385
314,ADP.2014-11-19T19:02:09.977,56980.32612977
315,ADP.2014-11-19T19:02:10.063,56980.33095659
316,ADP.2014-11-19T19:02:10.070,56980.33755469
317,ADP.2014-11-19T19:02:10.757,56980.32191701
318,ADP.2014-11-19T19:02:11.577,56980.35140385
319,ADP.2014-11-21T19:00:51.420,56982.3504777
320,ADP.2016-10-08T01:06:27.991,57668.25427638
321,ADP.2016-10-08T01:06:28.003,57668.25780551
322,ADP.2016-10-08T01:06:28.117,57668.24721023
323,ADP.2016-10-08T01:06:28.127,57668.24862836
324,ADP.2014-10-06T10:04:55.820,56569.30171063
325,ADP.2014-10-06T10:05:43.397,56583.3791527
326,ADP.2014-10-06T10:07:36.623,56580.29200506
327,ADP.2014-10-07T08:33:44.190,56707.08967779
328,ADP.2014-10-07T08:34:38.703,56706.0743164
329,ADP.2014-10-07T08:35:07.797,56707.08332311
330,ADP.2014-10-07T08:34:48.247,56694.06957808
331,ADP.2014-10-07T08:34:52.690,56707.08755926
332,ADP.2014-10-07T08:34:54.820,56707.1109105
333,ADP.2014-10-07T08:35:14.927,56694.05548518
334,ADP.2014-10-07T08:35:21.817,56694.08368788
335,ADP.2014-10-07T08:35:25.157,56707.08862032
336,ADP.2014-10-07T08:34:42.903,56694.08650427
337,ADP.2014-10-07T08:35:00.683,56706.03926858
338,ADP.2014-10-07T08:35:02.067,56706.03714426
339,ADP.2014-10-07T08:35:34.070,56694.07945289
340,ADP.2014-10-07T08:35:45.053,56706.07749264
341,ADP.2014-11-19T19:02:10.077,56980.35080127
342,ADP.2014-11-19T19:02:10.897,56980.34297008
343,ADP.2014-11-19T19:02:10.903,56980.3550307
344,ADP.2014-11-19T19:02:11.483,56980.32794679
345,ADP.2014-11-21T19:00:52.027,56982.35837208
346,ADP.2014-11-21T19:00:52.213,56982.33395476
347,ADP.2014-11-21T19:00:52.340,56982.36052349
348,ADP.2014-11-19T19:02:10.603,56980.35382357
349,ADP.2014-11-19T19:02:10.623,56980.34477761
350,ADP.2014-11-19T19:02:11.163,56980.32975281
351,ADP.2014-11-21T19:00:52.220,56982.34113693
352,ADP.2015-01-18T22:55:30.703,57040.09082434
353,ADP.2015-01-19T22:55:31.927,57041.1772842
354,ADP.2014-11-19T19:02:10.277,56980.35805173
355,ADP.2014-11-19T19:02:10.930,56980.34717916
356,ADP.2014-11-19T19:02:11.383,56980.34357279
357,ADP.2014-11-21T19:00:51.473,56982.35335231
358,ADP.2014-11-21T19:00:51.800,56982.34545481
359,ADP.2014-11-21T19:00:52.000,56982.33682509
360,ADP.2014-10-06T10:05:11.137,56580.30052468
361,ADP.2014-10-06T10:05:35.407,56580.33246898
362,ADP.2014-10-06T10:06:40.833,56580.28455253
363,ADP.2014-10-07T08:34:01.953,56706.07643251
364,ADP.2014-10-07T08:34:02.240,56694.07522462
365,ADP.2014-10-07T08:34:04.300,56706.06266219
366,ADP.2014-10-07T08:35:29.230,56707.09498345
367,ADP.2014-10-07T08:35:34.410,56706.03820534
368,ADP.2014-10-07T08:35:42.907,56707.09817254
369,ADP.2014-10-07T08:35:49.967,56694.04561685
370,ADP.2014-11-19T19:02:10.310,56980.33214868
371,ADP.2014-11-19T19:02:10.563,56980.33936013
372,ADP.2014-10-06T10:06:31.653,56583.38872527
373,ADP.2014-10-06T10:07:45.277,56580.27923809
374,ADP.2014-10-06T10:07:59.983,56580.29520155
375,ADP.2014-10-07T08:34:13.187,56707.10347334
376,ADP.2014-10-07T08:34:17.187,56694.08932019
377,ADP.2014-10-07T08:34:27.083,56706.08068034
378,ADP.2016-10-08T01:06:27.977,57668.25568803
379,ADP.2017-01-16T01:15:41.105,57768.07310283
380,ADP.2017-01-16T01:15:41.121,57768.20686081
381,ADP.2017-01-16T01:15:41.131,57768.15406923
382,ADP.2017-01-16T01:15:41.177,57768.07943003
383,ADP.2017-01-16T01:15:41.189,57768.21179164
384,ADP.2015-01-18T22:55:30.690,57040.089002
385,ADP.2016-11-22T01:06:21.189,57713.34551129
386,ADP.2016-11-22T01:06:21.321,57713.36026964
387,ADP.2016-11-22T01:06:21.325,57713.36108704
388,ADP.2017-01-16T01:15:41.053,57768.06887852
389,ADP.2017-01-16T01:15:41.089,57768.15055306
390,ADP.2014-11-19T19:02:10.283,56980.32010705
391,ADP.2014-11-19T19:02:10.337,56980.35744938
392,ADP.2014-11-19T19:02:10.497,56980.34657727
393,ADP.2014-11-19T19:02:10.790,56980.31950343
394,ADP.2014-11-19T19:02:10.857,56980.32372383
395,ADP.2014-11-19T19:02:11.410,56980.33394949
396,ADP.2016-11-22T01:06:21.175,57713.34387022
397,ADP.2016-11-22T01:06:21.197,57713.34633205
398,ADP.2016-11-22T01:06:21.239,57713.35043355
399,ADP.2016-11-22T01:06:21.263,57713.35289318
400,ADP.2017-01-16T01:15:41.057,57768.22605725
401,ADP.2017-01-16T01:15:41.085,57768.22933393
402,ADP.2017-01-16T01:15:41.211,57768.21390194
403,ADP.2017-01-16T01:15:41.247,57768.23096967
404,ADP.2017-01-16T01:15:41.297,57768.2358872
405,ADP.2017-01-16T01:15:41.323,57768.04867764
406,ADP.2017-01-16T01:15:41.335,57768.23998534
407,ADP.2017-01-16T01:15:41.373,57768.24408754
408,ADP.2016-11-22T01:06:21.245,57713.35125281
409,ADP.2017-01-16T01:15:41.061,57768.06958099
410,ADP.2017-01-16T01:15:41.067,57768.14844496
411,ADP.2017-01-16T01:15:41.145,57768.15547683
412,ADP.2017-01-16T01:15:41.197,57768.21249434
413,ADP.2017-01-16T01:15:41.225,57768.16321025
414,ADP.2014-11-19T19:02:10.877,56980.35262384
415,ADP.2014-11-19T19:02:11.197,56980.35202183
416,ADP.2014-11-19T19:02:11.230,56980.35322468
417,ADP.2014-11-19T19:02:11.603,56980.33515304
418,ADP.2014-11-21T19:00:51.467,56982.35980585
419,ADP.2014-11-21T19:00:51.960,56982.34904601
420,ADP.2014-10-07T08:34:06.567,56706.04244621
421,ADP.2014-10-07T08:34:10.190,56772.97095967
422,ADP.2014-10-07T08:34:16.587,56706.07220226
423,ADP.2014-10-07T08:34:18.160,56707.10560368
424,ADP.2014-10-07T08:34:18.363,56694.04138997
425,ADP.2014-10-07T08:34:19.187,56706.08174152
426,ADP.2014-11-21T19:00:51.387,56982.34258737
427,ADP.2014-11-21T19:00:51.613,56982.33826707
428,ADP.2014-11-21T19:00:51.733,56982.35478816
429,ADP.2014-11-21T19:00:51.793,56982.36196328
430,ADP.2014-11-21T19:00:51.807,56982.35262992
431,ADP.2014-11-21T19:00:52.067,56982.35407006
432,ADP.2017-01-16T01:15:41.091,57768.07169523
433,ADP.2017-01-16T01:15:41.195,57768.16039573
434,ADP.2017-01-16T01:15:41.255,57768.23178835
435,ADP.2017-01-16T01:15:41.271,57768.16743803
436,ADP.2017-01-16T01:15:41.311,57768.10196495
437,ADP.2017-01-16T01:15:41.315,57768.04785988
438,ADP.2017-01-16T01:15:41.109,57768.20616089
439,ADP.2017-01-16T01:15:41.181,57768.2110916
440,ADP.2017-01-16T01:15:41.193,57768.08084052
441,ADP.2017-01-16T01:15:41.273,57768.09914709
442,ADP.2017-01-16T01:15:41.275,57768.23425054
443,ADP.2017-01-16T01:15:41.379,57768.17869837
444,ADP.2014-11-21T19:00:51.640,56982.35119823
445,ADP.2014-11-21T19:00:52.013,56982.35550013
446,ADP.2014-11-21T19:00:52.333,56982.33898969
447,ADP.2015-01-19T22:55:31.820,57041.18261348
448,ADP.2016-10-08T01:06:27.961,57668.2521597
