Station:;rmr;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]29;[Avg]29;[Max]29;[data%]29;[Min]26;[Avg]26;[Max]26;[data%]26;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]27;[Avg]27;[Max]27;[data%]27;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]RS2;[Avg]RS2;[Max]RS2;[data%]RS2;[Min]28;[Avg]28;[Max]28;[data%] 28
2016-09-27;10.94;12.64;15.96;100.00;0.00;1.68;5.66;100.00;0.00;1.89;6.86;100.00;-126.77;233.23;233.23;100.00;-126.03;233.97;233.97;100.00;0.00;148.22;1355.00;100.00;0.00;136.13;816.00;100.00
2016-09-28;11.27;12.34;14.06;100.00;0.00;1.75;8.27;100.00;0.00;1.99;8.37;100.00;-111.68;248.32;248.32;100.00;-111.50;248.50;248.50;100.00;0.00;54.94;359.30;100.00;0.00;51.14;316.40;100.00
2016-09-29;9.91;13.36;16.90;100.00;0.00;1.46;7.23;100.00;0.00;1.66;7.47;100.00;-145.69;214.31;214.31;100.00;-148.17;211.83;211.83;100.00;0.00;222.99;1131.00;100.00;0.00;209.52;975.00;100.00
2016-09-30;7.42;13.77;20.77;100.00;0.00;1.99;7.49;100.00;0.00;2.30;8.74;100.00;-48.42;311.58;311.58;100.00;-48.97;311.03;311.03;100.00;0.00;300.45;986.00;100.00;0.00;285.98;930.00;100.00
2016-10-01;8.17;12.51;16.67;100.00;0.00;1.65;7.62;100.00;0.00;1.86;8.04;100.00;-56.82;303.18;303.18;100.00;-58.07;301.93;301.93;100.00;0.00;198.66;1191.00;100.00;0.00;184.68;946.00;100.00
2016-10-02;10.89;13.15;16.37;100.00;0.00;1.96;8.06;100.00;0.00;2.17;9.06;100.00;-76.37;283.63;283.63;100.00;-75.15;284.85;284.85;100.00;0.00;238.58;1346.00;100.00;0.00;222.42;1040.00;100.00
2016-10-03;10.95;12.70;14.95;100.00;0.00;1.50;5.49;100.00;0.00;1.70;6.31;100.00;-113.12;246.88;246.88;100.00;-114.15;245.85;245.85;100.00;0.00;65.11;432.90;100.00;0.00;60.55;385.80;100.00
2016-10-04;9.74;15.34;21.82;100.00;0.00;1.61;8.35;100.00;0.00;1.85;9.41;100.00;-146.65;213.35;213.35;100.00;-148.79;211.21;211.21;100.00;0.00;300.42;1016.00;100.00;0.00;286.36;927.00;100.00
2016-10-05;10.18;16.26;24.52;100.00;0.00;1.49;6.61;100.00;0.00;1.73;7.39;100.00;-158.59;201.41;201.41;100.00;-152.23;207.77;207.77;100.00;0.00;303.16;987.00;100.00;0.00;289.96;936.00;100.00
2016-10-06;9.91;14.73;19.55;100.00;0.00;2.62;10.60;100.00;0.00;3.03;12.49;100.00;-52.76;307.24;307.24;100.00;-60.55;299.45;299.45;100.00;0.00;299.33;979.00;100.00;0.00;284.11;916.00;100.00
2016-10-07;10.55;14.13;21.66;100.00;0.00;1.25;5.94;100.00;0.00;1.42;6.63;100.00;-152.53;207.47;207.47;100.00;-153.67;206.33;206.33;100.00;0.00;275.61;1004.00;100.00;0.00;260.69;938.00;100.00
2016-10-08;6.99;13.87;20.53;100.00;0.00;1.48;7.33;100.00;0.00;1.68;7.80;100.00;-79.56;280.45;280.45;100.00;-83.72;276.28;276.28;100.00;0.00;313.01;1013.00;100.00;0.00;298.71;953.00;100.00
2016-10-09;8.81;13.52;18.69;100.00;0.00;2.05;9.98;100.00;0.00;2.35;11.45;100.00;-75.38;284.62;284.62;100.00;-79.34;280.66;280.66;100.00;0.00;309.73;1028.00;100.00;0.00;293.81;951.00;100.00
2016-10-10;10.41;13.46;20.41;100.00;0.00;1.68;7.96;100.00;0.00;1.89;8.88;100.00;-93.30;266.70;266.70;100.00;-97.98;262.02;262.02;100.00;0.00;295.66;1016.00;100.00;0.00;278.97;949.00;100.00
2016-10-11;9.47;13.73;19.75;100.00;0.00;1.61;8.08;100.00;0.00;1.84;8.53;100.00;-134.15;225.85;225.85;100.00;-134.79;225.21;225.21;100.00;0.00;310.02;1116.00;100.00;0.00;293.13;974.00;100.00
2016-10-12;9.24;14.99;21.63;100.00;0.00;1.72;7.29;100.00;0.00;1.99;8.58;100.00;-143.91;216.09;216.09;100.00;-139.48;220.52;220.52;100.00;0.00;296.84;1328.00;100.00;0.00;282.85;1055.00;100.00
2016-10-13;9.47;14.85;23.61;100.00;0.00;1.85;7.25;100.00;0.00;2.14;8.04;100.00;-150.20;209.80;209.80;100.00;-155.48;204.52;204.52;100.00;0.00;314.79;1080.00;100.00;0.00;299.80;969.00;100.00
2016-10-14;10.65;13.60;24.36;100.00;0.00;1.32;9.49;100.00;0.00;1.53;10.88;100.00;-131.55;228.45;228.45;100.00;-132.06;227.95;227.95;100.00;0.00;104.61;691.70;100.00;0.00;101.94;599.60;100.00
2016-10-15;10.58;15.43;23.73;100.00;0.00;2.24;13.39;100.00;0.00;2.51;13.76;100.00;-41.14;318.86;318.86;100.00;-40.53;319.47;319.47;100.00;0.00;288.61;1268.00;100.00;0.00;273.32;1048.00;100.00
