Station:;cgr;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]TA2;[Avg]TA2;[Max]TA2;[Data%]TA2;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]VV10;[Avg]VV10;[Max]VV10;[Data%]VV10;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]DV10;[Avg]DV10;[Max]DV10;[data%]DV10;[Min]RS;[Avg]RS;[Max]RS;[data%]RS
2016-10-03;8.96;10.04;12.55;100.00;0.00;2.02;7.10;100.00;0.00;2.30;7.51;100.00;-48.74;311.26;311.26;100.00;-37.26;322.74;322.74;100.00;0.00;72.81;492.00;100.00
2016-10-04;8.64;15.29;21.62;100.00;0.00;2.23;8.96;100.00;0.00;2.60;8.60;100.00;-15.06;344.94;344.94;100.00;14.72;14.72;14.72;100.00;0.00;304.85;1000.00;100.00
2016-10-05;13.35;18.82;24.05;100.00;0.00;2.02;9.49;100.00;0.00;2.34;9.72;100.00;-69.04;290.96;290.96;100.00;-55.30;304.71;304.71;100.00;0.00;307.40;995.00;100.00
2016-10-06;10.05;14.17;18.52;100.00;0.00;2.54;12.01;100.00;0.00;2.82;12.00;100.00;-150.58;209.42;209.42;100.00;-140.76;219.24;219.24;100.00;0.00;287.98;1364.00;100.00
2016-10-07;9.01;13.65;19.76;100.00;0.00;1.74;5.19;100.00;0.00;2.00;5.21;100.00;-86.43;273.58;273.58;100.00;-76.78;283.22;283.22;100.00;0.00;311.46;1084.00;100.00
2016-10-08;11.03;13.80;17.41;100.00;0.00;1.77;9.41;100.00;0.00;2.01;9.31;100.00;-3.44;356.56;356.56;100.00;5.98;5.98;5.98;100.00;0.00;317.45;1035.00;100.00
2016-10-09;10.12;13.11;15.73;100.00;0.00;2.27;10.13;100.00;0.00;2.43;9.98;100.00;-112.27;247.73;247.73;100.00;-85.07;274.93;274.93;100.00;0.00;299.01;1354.00;100.00
2016-10-10;8.68;11.65;16.46;100.00;0.00;2.35;7.90;100.00;0.00;2.62;7.82;100.00;0.49;0.49;0.49;100.00;10.93;10.93;10.93;100.00;0.00;312.03;1198.00;100.00
2016-10-11;9.47;13.95;19.21;100.00;0.00;1.96;9.78;100.00;0.00;2.17;9.58;100.00;-88.19;271.81;271.81;100.00;-66.18;293.82;293.82;100.00;0.00;286.50;1360.00;100.00
2016-10-12;11.11;14.89;19.49;100.00;0.00;1.92;6.70;100.00;0.00;2.32;6.80;100.00;94.92;94.92;94.92;100.00;97.19;97.19;97.19;100.00;0.00;273.28;1309.00;100.00
